id,GEO_ID,NAME,Totol Pop,White,Black,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Other,Hispanic 
1,0400000US01,Alabama,4876250,3320247,1299048,25565,66270,2238,70662,208626
2,0400000US02,Alaska,737068,476015,24205,109751,45920,9204,11308,51870
3,0400000US04,Arizona,7050299,5444453,317462,317414,233213,14458,460262,2208663
4,0400000US05,Arkansas,2999370,2301044,459542,20434,45504,8733,83576,224130
5,0400000US06,California,39283497,23453222,2274108,303998,5692423,155290,5481792,15327688
6,0400000US08,Colorado,5610349,4712574,233647,54847,178147,8643,216767,1208172
7,0400000US09,Connecticut,3575074,2714031,383416,9955,161257,1123,186292,574240
8,0400000US10,Delaware,957248,658237,212302,3729,37009,542,18350,88364
9,0400000US12,Florida,20901636,15702256,3359031,59320,571276,12653,625079,5346684
10,0400000US13,Georgia,10403847,6098889,3289020,37440,414481,6233,291872,992394
11,0400000US15,Hawaii,1422094,354847,26025,3710,537355,142997,17433,149118
12,0400000US16,Idaho,1717750,1545409,11918,23136,24287,2755,59676,215476
13,0400000US17,Illinois,12770631,9134903,1813590,33460,698524,4477,757231,2186387
14,0400000US18,Indiana,6665703,5553391,626587,15782,151979,2506,145747,461850
15,0400000US19,Iowa,3139508,2826070,116359,11976,75741,3729,39048,188311
16,0400000US20,Kansas,2910652,2455935,170291,24010,85794,2382,71683,345680
17,0400000US21,Kentucky,4449052,3868479,358928,9386,65191,3182,43601,162994
18,0400000US22,Louisiana,4664362,2892275,1502963,26361,80806,1406,65592,239164
19,0400000US23,Maine,1335492,1259522,18468,8660,15109,396,3541,22100
20,0400000US24,Maryland,6018848,3343003,1799094,16762,378126,3034,272137,606482
21,0400000US25,Massachusetts,6850553,5348538,522357,14764,452436,2804,286619,809179
22,0400000US26,Michigan,9965265,7813755,1374314,53316,311721,3099,117801,507353
23,0400000US27,Minnesota,5563378,4609049,356515,58011,268181,2194,104032,299556
24,0400000US28,Mississippi,2984418,1743217,1125623,14269,29605,680,30728,91202
25,0400000US29,Missouri,6104910,5015904,701334,27084,120654,8231,71335,254791
26,0400000US30,Montana,1050649,930204,5303,66839,8259,807,7076,40314
27,0400000US31,Nebraska,1914571,1666871,92406,17673,45655,1327,40253,208271
28,0400000US32,Nevada,2972382,1949707,271005,38026,242267,20022,304947,853041
29,0400000US33,New Hampshire,1348124,1252128,21546,2036,36180,443,7510,50493
30,0400000US34,New Jersey,8878503,6018074,1194882,19711,840168,3458,558665,1794736
31,0400000US35,New Mexico,2092454,1565366,44120,199845,32577,1644,180638,1020817
32,0400000US36,New York,19572319,12459687,3065471,79512,1647606,8821,1694965,3720983
33,0400000US37,North Carolina,10264876,7049919,2200761,123952,292992,7213,316763,962665
34,0400000US38,North Dakota,756717,655136,21985,40006,11006,863,8109,28317
35,0400000US39,Ohio,11655397,9476047,1446193,22816,258199,3880,112836,443415
36,0400000US40,Oklahoma,3932870,2844070,286356,299621,85239,6260,106709,417906
37,0400000US41,Oregon,4129803,3480920,78679,48060,180580,16625,126587,537217
38,0400000US42,Pennsylvania,12791530,10300602,1430664,24691,436324,4198,275177,935216
39,0400000US44,Rhode Island,1057231,850597,71561,5277,35958,810,57807,163226
40,0400000US45,South Carolina,5020806,3372011,1344139,17645,78805,4002,88274,285458
41,0400000US46,South Dakota,870638,733719,17531,76190,12627,504,7230,33024
42,0400000US47,Tennessee,6709356,5205132,1124473,18189,117600,3771,92655,364174
43,0400000US48,Texas,28260856,20903375,3428211,141425,1357273,25292,1643869,11116881
44,0400000US49,Utah,3096848,2676482,36849,33721,71977,27554,156229,434832
45,0400000US50,Vermont,624313,587883,8502,2132,10461,325,2410,12038
46,0400000US51,Virginia,8454463,5717617,1621592,23873,541133,6179,223794,792001
47,0400000US53,Washington,7404107,5581128,281683,94449,631333,49090,333038,937579
48,0400000US54,West Virginia,1817305,1691600,66990,3667,14523,419,7971,28368
49,0400000US55,Wisconsin,5790716,4946961,371200,51392,161841,2400,118350,394392
50,0400000US56,Wyoming,581024,531304,5582,14164,5025,596,8832,57341
